,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
337,2004-05-08 00:00:00,Oficina,Alquiler,Barcelona,41.0,361661.0,2005-01-28 00:00:00,Carmen
347,2004-05-11 00:00:00,Oficina,Alquiler,Girona,187.0,1560889.0,2005-03-26 00:00:00,Joaquín
354,2004-05-14 00:00:00,Oficina,Alquiler,Tarragona,209.0,1181686.0,2004-10-15 00:00:00,Carmen
376,2004-05-24 00:00:00,Oficina,Alquiler,Barcelona,105.0,525210.0,2005-04-16 00:00:00,Pedro
388,2004-05-29 00:00:00,Oficina,Alquiler,Tarragona,196.0,882784.0,2005-02-02 00:00:00,Luisa
415,2004-06-07 00:00:00,Oficina,Alquiler,Lleida,201.0,1287807.0,2004-09-11 00:00:00,Carmen
425,2004-06-09 00:00:00,Oficina,Alquiler,Lleida,207.0,1042659.0,2004-10-12 00:00:00,Jesús
431,2004-06-12 00:00:00,Oficina,Alquiler,Lleida,205.0,1980300.0,2005-01-01 00:00:00,Joaquín
438,2004-06-15 00:00:00,Oficina,Alquiler,Girona,298.0,2524358.0,2004-10-23 00:00:00,Luisa
453,2004-06-19 00:00:00,Oficina,Alquiler,Barcelona,72.0,458568.0,2004-10-06 00:00:00,Luisa
459,2004-06-22 00:00:00,Oficina,Alquiler,Barcelona,77.0,322322.0,2005-03-12 00:00:00,Joaquín
461,2004-06-22 00:00:00,Oficina,Alquiler,Lleida,204.0,924732.0,2005-04-28 00:00:00,María
475,2004-06-26 00:00:00,Oficina,Alquiler,Lleida,88.0,851488.0,2005-05-25 00:00:00,Carmen
480,2004-06-29 00:00:00,Oficina,Alquiler,Barcelona,257.0,1166780.0,2005-01-10 00:00:00,Jesús
514,2004-07-08 00:00:00,Oficina,Alquiler,Barcelona,47.0,262777.0,2004-12-22 00:00:00,Carmen
515,2004-07-08 00:00:00,Oficina,Alquiler,Barcelona,119.0,720902.0,2005-06-23 00:00:00,Carmen
585,2004-08-01 00:00:00,Oficina,Alquiler,Lleida,77.0,613921.0,2005-03-23 00:00:00,María
599,2004-08-08 00:00:00,Oficina,Alquiler,Barcelona,289.0,1275646.0,2005-01-29 00:00:00,Pedro
617,2004-08-13 00:00:00,Oficina,Alquiler,Lleida,78.0,391560.0,2005-01-20 00:00:00,Pedro
651,2004-08-22 00:00:00,Oficina,Alquiler,Girona,259.0,1080548.0,2004-12-31 00:00:00,María
653,2004-08-22 00:00:00,Oficina,Alquiler,Girona,207.0,1953873.0,2005-06-10 00:00:00,Luisa
674,2004-08-29 00:00:00,Oficina,Alquiler,Barcelona,62.0,329716.0,2005-05-10 00:00:00,Pedro
704,2004-09-08 00:00:00,Oficina,Alquiler,Tarragona,271.0,1165842.0,2005-02-10 00:00:00,Luisa
714,2004-09-10 00:00:00,Oficina,Alquiler,Lleida,43.0,329681.0,2005-01-19 00:00:00,Jesús
715,2004-09-10 00:00:00,Oficina,Alquiler,Barcelona,206.0,1793848.0,2005-09-03 00:00:00,Luisa
723,2004-09-12 00:00:00,Oficina,Alquiler,Barcelona,241.0,2085373.0,2005-07-07 00:00:00,Joaquín
724,2004-09-13 00:00:00,Oficina,Alquiler,Barcelona,180.0,901980.0,2005-02-07 00:00:00,Carmen
732,2004-09-17 00:00:00,Oficina,Alquiler,Girona,164.0,1225244.0,2005-08-07 00:00:00,Jesús
734,2004-09-18 00:00:00,Oficina,Alquiler,Barcelona,89.0,588023.0,2005-06-26 00:00:00,Joaquín
745,2004-09-22 00:00:00,Oficina,Alquiler,Tarragona,136.0,761056.0,2005-04-11 00:00:00,Jesús
763,2004-09-27 00:00:00,Oficina,Alquiler,Girona,210.0,1122240.0,2005-08-27 00:00:00,Pedro
782,2004-10-06 00:00:00,Oficina,Alquiler,Girona,219.0,1455693.0,2005-01-28 00:00:00,Joaquín
807,2004-10-15 00:00:00,Oficina,Alquiler,Girona,119.0,630224.0,2005-04-09 00:00:00,Joaquín
813,2004-10-17 00:00:00,Oficina,Alquiler,Barcelona,192.0,1627200.0,2005-01-27 00:00:00,Luisa
825,2004-10-21 00:00:00,Oficina,Alquiler,Girona,239.0,1709567.0,2005-06-10 00:00:00,Jesús
832,2004-10-24 00:00:00,Oficina,Alquiler,Lleida,212.0,1968632.0,2005-10-23 00:00:00,Pedro
847,2004-10-31 00:00:00,Oficina,Alquiler,Tarragona,223.0,1566129.0,2005-04-06 00:00:00,Jesús
857,2004-11-03 00:00:00,Oficina,Alquiler,Lleida,251.0,1821758.0,2005-06-11 00:00:00,Luisa
862,2004-11-06 00:00:00,Oficina,Alquiler,Barcelona,246.0,2328636.0,2005-03-10 00:00:00,Luisa
874,2004-11-09 00:00:00,Oficina,Alquiler,Girona,147.0,1259202.0,2005-05-03 00:00:00,Pedro
876,2004-11-09 00:00:00,Oficina,Alquiler,Lleida,128.0,549120.0,2005-03-16 00:00:00,Carmen
887,2004-11-13 00:00:00,Oficina,Alquiler,Lleida,95.0,412395.0,2005-07-31 00:00:00,María
888,2004-11-13 00:00:00,Oficina,Alquiler,Lleida,236.0,1420012.0,2005-10-31 00:00:00,Pedro
901,2004-11-17 00:00:00,Oficina,Alquiler,Barcelona,294.0,2722146.0,2005-11-05 00:00:00,Joaquín
906,2004-11-18 00:00:00,Oficina,Alquiler,Barcelona,59.0,491706.0,2005-07-03 00:00:00,Jesús
934,2004-11-30 00:00:00,Oficina,Alquiler,Lleida,164.0,1373008.0,2005-06-09 00:00:00,Pedro
961,2004-12-10 00:00:00,Oficina,Alquiler,Barcelona,174.0,1271592.0,2005-07-13 00:00:00,Joaquín
982,2004-12-19 00:00:00,Oficina,Alquiler,Barcelona,250.0,1127750.0,2005-04-04 00:00:00,Luisa
1004,2004-12-26 00:00:00,Oficina,Alquiler,Girona,159.0,1437360.0,2005-06-12 00:00:00,Luisa
1006,2004-12-27 00:00:00,Oficina,Alquiler,Tarragona,86.0,822504.0,2005-08-17 00:00:00,Jesús
1046,2005-01-11 00:00:00,Oficina,Alquiler,Barcelona,157.0,949693.0,2005-11-27 00:00:00,Jesús
1053,2005-01-14 00:00:00,Oficina,Alquiler,Barcelona,251.0,2138771.0,2005-05-15 00:00:00,Carmen
1072,2005-01-22 00:00:00,Oficina,Alquiler,Tarragona,246.0,2083866.0,2005-07-25 00:00:00,Luisa
1077,2005-01-24 00:00:00,Oficina,Alquiler,Barcelona,254.0,1850644.0,2005-11-28 00:00:00,Carmen
1082,2005-01-25 00:00:00,Oficina,Alquiler,Tarragona,210.0,1332030.0,2006-01-02 00:00:00,Carmen
1128,2005-02-14 00:00:00,Oficina,Alquiler,Girona,119.0,899640.0,2005-12-12 00:00:00,Pedro
1147,2005-02-18 00:00:00,Oficina,Alquiler,Barcelona,233.0,984192.0,2006-01-28 00:00:00,Jesús
1148,2005-02-18 00:00:00,Oficina,Alquiler,Lleida,61.0,481656.0,2005-09-18 00:00:00,Carmen
1179,2005-02-28 00:00:00,Oficina,Alquiler,Barcelona,70.0,354270.0,2005-11-18 00:00:00,Jesús
1183,2005-03-01 00:00:00,Oficina,Alquiler,Lleida,94.0,639952.0,2005-09-26 00:00:00,Luisa
1198,2005-03-06 00:00:00,Oficina,Alquiler,Barcelona,42.0,235746.0,2005-07-25 00:00:00,Joaquín
1243,2005-03-20 00:00:00,Oficina,Alquiler,Barcelona,274.0,1152718.0,2005-07-31 00:00:00,Pedro
1263,2005-03-28 00:00:00,Oficina,Alquiler,Tarragona,186.0,1843074.0,2005-10-04 00:00:00,Pedro
1294,2005-04-07 00:00:00,Oficina,Alquiler,Girona,214.0,899228.0,2005-12-24 00:00:00,Luisa
1338,2005-04-24 00:00:00,Oficina,Alquiler,Tarragona,77.0,716793.0,2006-02-25 00:00:00,Pedro
1361,2005-04-30 00:00:00,Oficina,Alquiler,Tarragona,172.0,1441188.0,2006-04-12 00:00:00,Luisa
1369,2005-05-02 00:00:00,Oficina,Alquiler,Lleida,240.0,1270800.0,2006-04-25 00:00:00,Luisa
1377,2005-05-05 00:00:00,Oficina,Alquiler,Tarragona,186.0,1543428.0,2005-08-25 00:00:00,Pedro
1383,2005-05-07 00:00:00,Oficina,Alquiler,Lleida,101.0,634583.0,2006-04-21 00:00:00,María
1386,2005-05-08 00:00:00,Oficina,Alquiler,Lleida,141.0,843180.0,2005-12-25 00:00:00,Carmen
1397,2005-05-10 00:00:00,Oficina,Alquiler,Barcelona,107.0,899014.0,2006-04-09 00:00:00,María
1446,2005-05-31 00:00:00,Oficina,Alquiler,Barcelona,96.0,567072.0,2005-10-30 00:00:00,Jesús
1447,2005-05-31 00:00:00,Oficina,Alquiler,Lleida,188.0,1579012.0,2006-04-14 00:00:00,María
1459,2005-06-06 00:00:00,Oficina,Alquiler,Girona,228.0,1039452.0,2006-01-11 00:00:00,Carmen
1467,2005-06-09 00:00:00,Oficina,Alquiler,Tarragona,131.0,1297686.0,2006-05-01 00:00:00,Carmen
1490,2005-06-16 00:00:00,Oficina,Alquiler,Girona,138.0,1241034.0,2006-06-05 00:00:00,Carmen
1527,2005-06-30 00:00:00,Oficina,Alquiler,Girona,204.0,1132608.0,2005-11-12 00:00:00,María
1528,2005-06-30 00:00:00,Oficina,Alquiler,Girona,185.0,1257075.0,2006-06-06 00:00:00,María
1548,2005-07-08 00:00:00,Oficina,Alquiler,Tarragona,59.0,519259.0,2005-10-30 00:00:00,María
1566,2005-07-16 00:00:00,Oficina,Alquiler,Tarragona,296.0,2057496.0,2005-11-13 00:00:00,Jesús
1568,2005-07-17 00:00:00,Oficina,Alquiler,Tarragona,273.0,2202837.0,2006-06-27 00:00:00,María
1599,2005-07-27 00:00:00,Oficina,Alquiler,Lleida,114.0,764370.0,2006-02-24 00:00:00,Carmen
1615,2005-08-03 00:00:00,Oficina,Alquiler,Lleida,126.0,757260.0,2006-07-23 00:00:00,Pedro
1623,2005-08-04 00:00:00,Oficina,Alquiler,Tarragona,59.0,281548.0,2006-07-22 00:00:00,Jesús
1624,2005-08-05 00:00:00,Oficina,Alquiler,Lleida,73.0,328646.0,2006-02-01 00:00:00,Carmen
1631,2005-08-07 00:00:00,Oficina,Alquiler,Tarragona,48.0,404352.0,2006-02-25 00:00:00,Joaquín
1640,2005-08-09 00:00:00,Oficina,Alquiler,Lleida,93.0,552513.0,2006-01-29 00:00:00,Pedro
1653,2005-08-15 00:00:00,Oficina,Alquiler,Lleida,137.0,804327.0,2005-12-17 00:00:00,Joaquín
1655,2005-08-15 00:00:00,Oficina,Alquiler,Lleida,79.0,411669.0,2006-08-04 00:00:00,Pedro
1665,2005-08-19 00:00:00,Oficina,Alquiler,Lleida,69.0,442635.0,2006-06-15 00:00:00,María
1667,2005-08-22 00:00:00,Oficina,Alquiler,Lleida,103.0,872204.0,2005-11-26 00:00:00,María
1668,2005-08-23 00:00:00,Oficina,Alquiler,Girona,203.0,1933372.0,2006-01-31 00:00:00,Jesús
1720,2005-09-10 00:00:00,Oficina,Alquiler,Lleida,173.0,994750.0,2006-09-02 00:00:00,Joaquín
1722,2005-09-10 00:00:00,Oficina,Alquiler,Lleida,142.0,1201462.0,2006-08-06 00:00:00,Jesús
1725,2005-09-11 00:00:00,Oficina,Alquiler,Lleida,194.0,1931658.0,2005-12-14 00:00:00,Jesús
1733,2005-09-13 00:00:00,Oficina,Alquiler,Barcelona,223.0,974956.0,2006-07-23 00:00:00,Luisa
1755,2005-09-24 00:00:00,Oficina,Alquiler,Lleida,85.0,613275.0,2006-02-12 00:00:00,Pedro
1788,2005-10-04 00:00:00,Oficina,Alquiler,Girona,85.0,749275.0,2006-01-05 00:00:00,María
1790,2005-10-04 00:00:00,Oficina,Alquiler,Girona,228.0,1747392.0,2006-05-24 00:00:00,Carmen
1798,2005-10-06 00:00:00,Oficina,Alquiler,Lleida,289.0,2249576.0,2006-06-18 00:00:00,Carmen
1846,2005-10-27 00:00:00,Oficina,Alquiler,Tarragona,182.0,1499134.0,2006-09-07 00:00:00,Joaquín
1859,2005-11-01 00:00:00,Oficina,Alquiler,Girona,213.0,2083779.0,2006-04-23 00:00:00,María
1863,2005-11-02 00:00:00,Oficina,Alquiler,Girona,67.0,304113.0,2006-06-29 00:00:00,Joaquín
1879,2005-11-08 00:00:00,Oficina,Alquiler,Girona,153.0,912798.0,2006-05-31 00:00:00,Jesús
1885,2005-11-12 00:00:00,Oficina,Alquiler,Girona,273.0,2333058.0,2006-03-05 00:00:00,Joaquín
1892,2005-11-13 00:00:00,Oficina,Alquiler,Barcelona,70.0,526680.0,2006-02-17 00:00:00,Joaquín
1896,2005-11-15 00:00:00,Oficina,Alquiler,Barcelona,62.0,421290.0,2006-05-21 00:00:00,Joaquín
1918,2005-11-23 00:00:00,Oficina,Alquiler,Tarragona,44.0,363968.0,2006-09-02 00:00:00,Carmen
1941,2005-11-30 00:00:00,Oficina,Alquiler,Girona,113.0,747947.0,2006-06-09 00:00:00,Pedro
1956,2005-12-08 00:00:00,Oficina,Alquiler,Barcelona,293.0,2868470.0,2006-03-18 00:00:00,Luisa
1962,2005-12-12 00:00:00,Oficina,Alquiler,Tarragona,117.0,536679.0,2006-07-19 00:00:00,Joaquín
1970,2005-12-16 00:00:00,Oficina,Alquiler,Girona,135.0,857925.0,2006-06-25 00:00:00,Joaquín
1985,2005-12-21 00:00:00,Oficina,Alquiler,Barcelona,190.0,940500.0,2006-12-11 00:00:00,Joaquín
2003,2005-12-26 00:00:00,Oficina,Alquiler,Barcelona,56.0,296856.0,2006-06-06 00:00:00,María
2006,2005-12-27 00:00:00,Oficina,Alquiler,Barcelona,54.0,402462.0,2006-10-06 00:00:00,Pedro
2013,2005-12-30 00:00:00,Oficina,Alquiler,Girona,227.0,2029607.0,2006-10-20 00:00:00,Carmen
2020,2006-01-01 00:00:00,Oficina,Alquiler,Lleida,150.0,873000.0,2006-12-17 00:00:00,Jesús
2025,2006-01-03 00:00:00,Oficina,Alquiler,Barcelona,216.0,1109808.0,2006-06-24 00:00:00,Joaquín
2039,2006-01-07 00:00:00,Oficina,Alquiler,Lleida,207.0,2014110.0,2006-11-01 00:00:00,Joaquín
2058,2006-01-13 00:00:00,Oficina,Alquiler,Barcelona,98.0,738430.0,2006-12-28 00:00:00,Luisa
2066,2006-01-14 00:00:00,Oficina,Alquiler,Lleida,129.0,562827.0,2006-11-16 00:00:00,Joaquín
2068,2006-01-15 00:00:00,Oficina,Alquiler,Barcelona,199.0,1685132.0,2006-11-07 00:00:00,Joaquín
2070,2006-01-15 00:00:00,Oficina,Alquiler,Lleida,272.0,2487712.0,2006-04-25 00:00:00,Carmen
2077,2006-01-17 00:00:00,Oficina,Alquiler,Barcelona,123.0,609342.0,2006-05-10 00:00:00,Carmen
2097,2006-01-24 00:00:00,Oficina,Alquiler,Girona,123.0,1133199.0,2006-09-23 00:00:00,Luisa
2104,2006-01-25 00:00:00,Oficina,Alquiler,Lleida,237.0,1438827.0,2006-05-12 00:00:00,Pedro
2113,2006-01-27 00:00:00,Oficina,Alquiler,Lleida,136.0,656744.0,2006-05-15 00:00:00,Luisa
2119,2006-01-30 00:00:00,Oficina,Alquiler,Girona,75.0,378900.0,2006-12-16 00:00:00,Carmen
2121,2006-01-30 00:00:00,Oficina,Alquiler,Girona,123.0,757434.0,2006-08-23 00:00:00,Pedro
2130,2006-02-02 00:00:00,Oficina,Alquiler,Tarragona,288.0,1820448.0,2006-11-13 00:00:00,Joaquín
2147,2006-02-07 00:00:00,Oficina,Alquiler,Tarragona,206.0,1747292.0,2006-06-11 00:00:00,Carmen
2148,2006-02-08 00:00:00,Oficina,Alquiler,Barcelona,142.0,693244.0,2006-09-19 00:00:00,Jesús
2195,2006-02-22 00:00:00,Oficina,Alquiler,Barcelona,64.0,319616.0,2006-07-06 00:00:00,Carmen
2218,2006-03-03 00:00:00,Oficina,Alquiler,Lleida,74.0,697746.0,2007-01-11 00:00:00,Carmen
2225,2006-03-05 00:00:00,Oficina,Alquiler,Girona,177.0,980934.0,2006-09-11 00:00:00,Luisa
2233,2006-03-08 00:00:00,Oficina,Alquiler,Barcelona,177.0,1191033.0,2006-06-27 00:00:00,Carmen
2238,2006-03-09 00:00:00,Oficina,Alquiler,Tarragona,272.0,1705712.0,2006-06-19 00:00:00,Joaquín
2253,2006-03-16 00:00:00,Oficina,Alquiler,Tarragona,87.0,603780.0,2007-03-07 00:00:00,Joaquín
2254,2006-03-16 00:00:00,Oficina,Alquiler,Lleida,178.0,1171418.0,2006-12-05 00:00:00,María
2258,2006-03-19 00:00:00,Oficina,Alquiler,Girona,286.0,1413698.0,2007-03-15 00:00:00,Carmen
2259,2006-03-19 00:00:00,Oficina,Alquiler,Barcelona,83.0,743265.0,2007-01-03 00:00:00,Joaquín
2277,2006-03-26 00:00:00,Oficina,Alquiler,Tarragona,294.0,2427558.0,2007-01-30 00:00:00,Pedro
2282,2006-03-29 00:00:00,Oficina,Alquiler,Girona,42.0,238014.0,2006-09-04 00:00:00,Pedro
2319,2006-04-09 00:00:00,Oficina,Alquiler,Tarragona,113.0,704894.0,2007-01-27 00:00:00,Carmen
2343,2006-04-20 00:00:00,Oficina,Alquiler,Girona,120.0,1085160.0,2006-08-14 00:00:00,Luisa
2344,2006-04-20 00:00:00,Oficina,Alquiler,Barcelona,89.0,673552.0,2007-01-21 00:00:00,Luisa
2402,2006-05-13 00:00:00,Oficina,Alquiler,Lleida,275.0,1819950.0,2006-11-11 00:00:00,Luisa
2413,2006-05-16 00:00:00,Oficina,Alquiler,Lleida,257.0,2203004.0,2006-11-15 00:00:00,Pedro
2418,2006-05-18 00:00:00,Oficina,Alquiler,Lleida,176.0,1214576.0,2006-10-08 00:00:00,Luisa
2422,2006-05-20 00:00:00,Oficina,Alquiler,Girona,156.0,1294176.0,2006-10-05 00:00:00,Carmen
2423,2006-05-20 00:00:00,Oficina,Alquiler,Barcelona,225.0,1752975.0,2006-09-22 00:00:00,Jesús
2443,2006-05-28 00:00:00,Oficina,Alquiler,Tarragona,106.0,795318.0,2006-09-11 00:00:00,Joaquín
2465,2006-06-03 00:00:00,Oficina,Alquiler,Tarragona,91.0,696696.0,,
2518,2006-06-20 00:00:00,Oficina,Alquiler,Lleida,63.0,413910.0,2007-04-29 00:00:00,María
2525,2006-06-23 00:00:00,Oficina,Alquiler,Tarragona,178.0,1010862.0,2006-11-08 00:00:00,Carmen
2594,2006-07-20 00:00:00,Oficina,Alquiler,Girona,170.0,1039380.0,2006-11-25 00:00:00,Joaquín
2597,2006-07-21 00:00:00,Oficina,Alquiler,Barcelona,91.0,659022.0,2007-02-26 00:00:00,Pedro
2601,2006-07-23 00:00:00,Oficina,Alquiler,Lleida,157.0,1095860.0,2007-04-21 00:00:00,Luisa
2621,2006-07-31 00:00:00,Oficina,Alquiler,Lleida,291.0,2874207.0,2007-04-24 00:00:00,Jesús
2637,2006-08-08 00:00:00,Oficina,Alquiler,Girona,97.0,696169.0,,
2645,2006-08-11 00:00:00,Oficina,Alquiler,Tarragona,268.0,1984808.0,2007-03-06 00:00:00,Carmen
2655,2006-08-13 00:00:00,Oficina,Alquiler,Barcelona,86.0,733236.0,2006-12-15 00:00:00,Jesús
2656,2006-08-14 00:00:00,Oficina,Alquiler,Barcelona,192.0,1622400.0,2006-11-16 00:00:00,Carmen
2722,2006-09-10 00:00:00,Oficina,Alquiler,Lleida,142.0,680606.0,2007-02-19 00:00:00,Pedro
2724,2006-09-10 00:00:00,Oficina,Alquiler,Tarragona,285.0,1299315.0,,
2736,2006-09-16 00:00:00,Oficina,Alquiler,Barcelona,72.0,604440.0,,
2738,2006-09-17 00:00:00,Oficina,Alquiler,Tarragona,126.0,779058.0,,
2754,2006-09-23 00:00:00,Oficina,Alquiler,Girona,134.0,1088616.0,2007-03-11 00:00:00,María
2756,2006-09-25 00:00:00,Oficina,Alquiler,Tarragona,189.0,958608.0,2007-02-23 00:00:00,Jesús
2797,2006-10-10 00:00:00,Oficina,Alquiler,Tarragona,202.0,1028988.0,,
2798,2006-10-11 00:00:00,Oficina,Alquiler,Barcelona,178.0,1319336.0,,
2805,2006-10-13 00:00:00,Oficina,Alquiler,Tarragona,271.0,2621925.0,2007-02-19 00:00:00,Carmen
2810,2006-10-16 00:00:00,Oficina,Alquiler,Lleida,250.0,1480500.0,2007-02-19 00:00:00,Luisa
2831,2006-10-24 00:00:00,Oficina,Alquiler,Girona,224.0,1126944.0,2007-04-07 00:00:00,Joaquín
2854,2006-11-02 00:00:00,Oficina,Alquiler,Lleida,47.0,400816.0,2007-03-28 00:00:00,Carmen
2893,2006-11-13 00:00:00,Oficina,Alquiler,Lleida,173.0,934200.0,,
2895,2006-11-14 00:00:00,Oficina,Alquiler,Lleida,234.0,979056.0,2007-04-26 00:00:00,Jesús
2919,2006-11-27 00:00:00,Oficina,Alquiler,Girona,99.0,831204.0,,
2934,2006-11-30 00:00:00,Oficina,Alquiler,Lleida,192.0,1169088.0,,
2981,2006-12-17 00:00:00,Oficina,Alquiler,Barcelona,72.0,339192.0,,
3024,2007-01-04 00:00:00,Oficina,Alquiler,Lleida,293.0,2662784.0,,
3046,2007-01-10 00:00:00,Oficina,Alquiler,Barcelona,196.0,1880032.0,,
3073,2007-01-20 00:00:00,Oficina,Alquiler,Barcelona,123.0,885969.0,,
3098,2007-01-29 00:00:00,Oficina,Alquiler,Barcelona,296.0,2563064.0,,
3138,2007-02-15 00:00:00,Oficina,Alquiler,Tarragona,248.0,2357240.0,,
3145,2007-02-18 00:00:00,Oficina,Alquiler,Girona,174.0,1568610.0,,
3150,2007-02-19 00:00:00,Oficina,Alquiler,Girona,43.0,293303.0,,
3198,2007-03-08 00:00:00,Oficina,Alquiler,Tarragona,270.0,1859220.0,,
3206,2007-03-11 00:00:00,Oficina,Alquiler,Lleida,238.0,1195474.0,,
3218,2007-03-15 00:00:00,Oficina,Alquiler,Barcelona,95.0,905920.0,,
3230,2007-03-18 00:00:00,Oficina,Alquiler,Barcelona,106.0,520672.0,,
3234,2007-03-19 00:00:00,Oficina,Alquiler,Tarragona,76.0,347776.0,,
3239,2007-03-21 00:00:00,Oficina,Alquiler,Tarragona,153.0,774792.0,,
3271,2007-04-02 00:00:00,Oficina,Alquiler,Tarragona,218.0,1656364.0,,
3277,2007-04-05 00:00:00,Oficina,Alquiler,Barcelona,146.0,725474.0,,
3291,2007-04-10 00:00:00,Oficina,Alquiler,Tarragona,100.0,787400.0,,
3315,2007-04-19 00:00:00,Oficina,Alquiler,Barcelona,146.0,1063902.0,,
3317,2007-04-21 00:00:00,Oficina,Alquiler,Lleida,95.0,394250.0,,
3319,2007-04-22 00:00:00,Oficina,Alquiler,Tarragona,44.0,293172.0,,
